Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Business,ACCTG,ACCTG 9,1029,HUANG AI M,22,11,2,0.0,1,0.0,0.0,0.0,0.0,0.0,4,40
Business,ACCTG,ACCTG 9,3439,KIM J S,13,11,3,1,0.0,0.0,0.0,0.0,0.0,0.0,4,32
Business,ACCTG,ACCTG 10A,1031,LU M,11,3,4,2,0.0,1,1,0.0,0.0,0.0,2,24
Business,ACCTG,ACCTG 10A,1032,LU M,8,6,3,0.0,2,0.0,0.0,0.0,0.0,0.0,6,25
Business,ACCTG,ACCTG 10B,1033,KIM J S,12,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
Business,ACCTG,ACCTG 10B,1034,KIM J S,8,6,0.0,1,2,0.0,0.0,0.0,0.0,0.0,5,22
Business,ACCTG,ACCTG 10,1035,HANSON M P,7,4,3,0.0,0.0,1,0.0,0.0,0.0,0.0,8,23
Business,ACCTG,ACCTG 11,1036,MAIER L S,13,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Business,ACCTG,ACCTG 12,1037,MAIER L S,21,3,2,0.0,1,0.0,0.0,0.0,0.0,0.0,5,32
Business,ACCTG,ACCTG 12,3364,MAIER L S,22,2,1,0.0,0.0,1,0.0,0.0,0.0,0.0,5,31
Business,ACCTG,ACCTG 15,1038,RUBIO C,6,10,3,0.0,3,0.0,0.0,0.0,0.0,0.0,8,30
Business,ACCTG,ACCTG 15,1039,RUBIO C,9,11,1,0.0,1,0.0,0.0,0.0,0.0,0.0,3,25
Business,ACCTG,ACCTG 16,1040,RUBIO C,5,10,1,1,1,0.0,0.0,0.0,0.0,0.0,8,26
Business,ACCTG,ACCTG 16,1041,RUBIO C,10,2,6,0.0,0.0,2,0.0,0.0,0.0,0.0,11,31
Business,ACCTG,ACCTG 17,4003,RUBIO C,8,5,1,0.0,0.0,1,0.0,0.0,0.0,0.0,8,23
Business,ACCTG,ACCTG 21,1042,RESNICK W J,27,3,3,0.0,3,0.0,0.0,0.0,0.0,0.0,5,41
Business,ACCTG,ACCTG 21,1043,RESNICK W J,18,6,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,8,34
Business,ACCTG,ACCTG 21,1044,RESNICK W J,22,3,1,1,0.0,1,0.0,0.0,0.0,0.0,8,36
Business,ACCTG,ACCTG 22,1045,LOPEZ EN,3,1,0.0,1,3,0.0,0.0,0.0,0.0,0.0,2,10
Business,ACCTG,ACCTG 23,1046,LOPEZ EN,16,10,4,0.0,1,1,1,0.0,0.0,0.0,7,40
Business,ACCTG,ACCTG 31A,1047,VALDIVIA O,19,8,0.0,1,5,0.0,0.0,0.0,0.0,0.0,5,38
Business,ACCTG,ACCTG 31B,1048,VALDIVIA O,14,4,1,0.0,2,0.0,0.0,0.0,0.0,0.0,9,30
Business,ACCTG,ACCTG 40A,1049,STEINBERGER E K,20,7,5,0.0,1,1,0.0,0.0,0.0,0.0,3,37
Business,ACCTG,ACCTG 45,1050,ARAKELIAN A,4,3,2,0.0,4,0.0,0.0,0.0,0.0,0.0,1,14
Business,ACCTG,ACCTG 45,1051,HAIG J S,8,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,13
Business,ACCTG,ACCTG 45,1052,HAIG J S,5,2,1,0.0,1,0.0,0.0,0.0,0.0,0.0,2,11
Business,ACCTG,ACCTG 45,1054,RESNICK W J,9,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18
Business,ACCTG,ACCTG 45,1055,RESNICK W J,12,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17
Business,ACCTG,ACCTG 45,1056,RESNICK W J,12,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,15
Business,ACCTG,ACCTG 45,1057,HAIG J S,11,5,3,0.0,2,0.0,0.0,0.0,0.0,0.0,4,25
Business,AD JUS,AD JUS 1,1058,BEY-TAYLOR M,6,7,10,6,5,1,1,0.0,0.0,0.0,8,44
Business,AD JUS,AD JUS 1,1059,KHALIL N,11,8,8,0.0,4,0.0,0.0,0.0,0.0,0.0,7,38
Business,AD JUS,AD JUS 1,1060,JUNGHAHN L A,13,4,5,2,1,0.0,0.0,1,0.0,0.0,3,29
Business,AD JUS,AD JUS 1,3402,JUNGHAHN L A,7,3,1,1,2,0.0,0.0,0.0,0.0,0.0,3,17
Business,AD JUS,AD JUS 1,4004,POLIN M W,29,2,1,3,1,0.0,0.0,0.0,0.0,0.0,2,38
Business,AD JUS,AD JUS 2,1062,JUNGHAHN L A,12,7,8,2,1,0.0,0.0,0.0,0.0,0.0,2,32
Business,AD JUS,AD JUS 2,4005,DARDEN C A,4,3,2,1,4,0.0,0.0,0.0,0.0,0.0,1,15
Business,AD JUS,AD JUS 3,1063,SMITH DEBORAH R,3,13,13,3,8,0.0,0.0,0.0,0.0,0.0,2,42
Business,AD JUS,AD JUS 5,4006,DARDEN C A,7,5,3,0.0,7,0.0,0.0,0.0,0.0,0.0,3,25
Business,AD JUS,AD JUS 8,1064,SMITH DEBORAH R,6,9,3,1,9,0.0,1,0.0,0.0,0.0,3,32
Business,AD JUS,AD JUS 11,1065,GAU C K,14,7,3,2,5,0.0,1,0.0,0.0,0.0,7,39
Business,AD JUS,AD JUS 67,1066,GAU C K,7,4,2,1,7,0.0,0.0,0.0,0.0,0.0,3,24
Business,AUTO,AUTO 40,4026,OATES S M,8,11,7,1,6,0.0,0.0,0.0,0.0,0.0,3,36
Business,AUTO,AUTO 45,4027,OATES S M,6,8,11,3,2,0.0,0.0,0.0,0.0,0.0,0.0,30
Business,BUS,BUS 1,1293,MIKOLAJCZAK M,15,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,30
Business,BUS,BUS 1,1294,ROPER-CONLEY C,4,5,6,1,13,0.0,0.0,1,0.0,0.0,3,33
Business,BUS,BUS 1,1295,SEDKY S M,26,3,3,4,5,1,1,0.0,0.0,0.0,3,46
Business,BUS,BUS 1,1296,ROPER-CONLEY C,6,4,6,2,13,0.0,1,2,0.0,0.0,4,38
Business,BUS,BUS 1,1297,KELLY MARCELLA A,19,10,5,4,11,0.0,0.0,0.0,0.0,0.0,1,50
Business,BUS,BUS 1,1298,ROPER-CONLEY C,2,6,2,1,19,1,1,1,0.0,0.0,5,38
Business,BUS,BUS 1,1299,SENKO E A,18,2,7,2,15,0.0,1,0.0,0.0,0.0,3,48
